experiment,method_id,method,sharing,scales,resource_regime,train_seed,generation_seed,cfg_scale,num_samples,prdc_k,checkpoint_step,checkpoint_sha256,fid,is_mean,is_within_run_std,precision,recall,density,coverage,result_path,result_sha256,generation_manifest_path,generation_manifest_sha256,evaluation_manifest_path,evaluation_manifest_sha256,task_manifest_path,task_manifest_sha256,evidence_role,reuse_registry_path,reuse_registry_sha256
factorial,global_multi,Global+Multi,global,multi,standard,123,271828,2.5,50000,5,30000,0fd8f9b40bc2810e76eb0324bd47a3d69ebafe5122f1d547935255ee27471985,45.2093220908136,52.69178138254764,0.9671409164496975,0.7679,0.1573,1.015552,0.41102,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed123_g271828_50k/results.json,1a8f470f523ccc4eee6d1aa571be0cb056aa2bd741b4a575d3afc9145c8c8266,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed123_g271828_50k/generation_manifest.json,b5d3a95abaa595f77da6a54757bc475e9f39db0be4572ba250ad1e1ac7313da6,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed123_g271828_50k/evaluation_manifest.json,254110d3e845032a9ae0e98bf4fac461bb9eb89ee989e9c570be063f90f22d66,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/_registry/task_manifest.tsv,bee7cb6c43bca733008156490990daf0c9e4d9e664e949b93e5d3749c41e1a1c,reused_main_result,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/reused_global_multi.tsv,ee54ed2a3da0e221269ac08f846e4b18c8c7afce9076cbfa08ce7af110ef076b
factorial,global_multi,Global+Multi,global,multi,standard,2026,271828,2.5,50000,5,30000,43cf6bef151eeb389f5db9645082f158c636bf7dd9cf12adb892bcff74461860,46.223648744376646,53.304495990306506,1.0665964408197832,0.77054,0.16746,1.00308,0.40494,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed2026_g271828_50k/results.json,f09bb8a2fddf27d634c3557595062ba8693799a33542703d6a9b1500041f4042,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed2026_g271828_50k/generation_manifest.json,7e071813b43e42b70636564b55b9ba6791fd775b3aeda91ec203bf9a80a30a04,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed2026_g271828_50k/evaluation_manifest.json,30cb8ce31e51fcde3aba1ad91e5618e044323b58a2f08ba402f0a14e629dd69a,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/_registry/task_manifest.tsv,bee7cb6c43bca733008156490990daf0c9e4d9e664e949b93e5d3749c41e1a1c,reused_main_result,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/reused_global_multi.tsv,ee54ed2a3da0e221269ac08f846e4b18c8c7afce9076cbfa08ce7af110ef076b
factorial,global_multi,Global+Multi,global,multi,standard,3407,271828,2.5,50000,5,30000,0693b242826036ab0e574797bec728ea87514c0052920000ded69eb29e0a6670,46.7628136176171,51.51735821218422,0.7236680701857513,0.7747,0.15688,1.077624,0.41032,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed3407_g271828_50k/results.json,56545ed24fa63774dbaa8269987444691b7071b0e6ac6d5ac58438cd316c5fe8,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed3407_g271828_50k/generation_manifest.json,f8eb33ba5678ee182d86914bf76a600535b9426e7988a39250fa75090cfb977f,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed3407_g271828_50k/evaluation_manifest.json,d512ff9cddc3e0d19656e60b1c25774271d7936bcd4acd49593874e653ca73f9,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/_registry/task_manifest.tsv,bee7cb6c43bca733008156490990daf0c9e4d9e664e949b93e5d3749c41e1a1c,reused_main_result,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/reused_global_multi.tsv,ee54ed2a3da0e221269ac08f846e4b18c8c7afce9076cbfa08ce7af110ef076b
factorial,global_single,Global+Single,global,single,standard,123,271828,2.5,50000,5,30000,93caa64442d75e089ea918295a1b1c549302a1a59b7fc064865bd3bb8e57cc9e,45.43353116008012,53.61566904853262,1.4161980952895257,0.78682,0.15518,1.095772,0.4165,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed123_g271828_50k/results.json,bb04e7c1a3bee9cee93fe234c789dcf2c8b68257590978c92a5f12b5b51af4e4,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed123_g271828_50k/generation_manifest.json,09f3e9c934392ac2d53e0fe0febaa0aeded5b9e1e0d40bfd9c1b5772534ab4df,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed123_g271828_50k/evaluation_manifest.json,c52a839e45d058da6a62193e078dc89819668112f578409b6e7ba0ac6565d1ac,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f,unique_factorial_result,,
factorial,global_single,Global+Single,global,single,standard,2026,271828,2.5,50000,5,30000,967f4208d336e65cc7cbc1492152746babfae87593dd722a7784b744c47ec51a,47.468028513170225,51.6891982812975,0.605189756695856,0.75732,0.15378,0.973844,0.39078,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed2026_g271828_50k/results.json,29f98c23879dc3444dda6e3da50681237866f6c3997236d7e7a4e874e16d5447,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed2026_g271828_50k/generation_manifest.json,3b39518db8fe56cad7ca9e5c986100aee8406ac1f6bb296caf5c6acd631fb7a7,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed2026_g271828_50k/evaluation_manifest.json,4133b5e86102e201e1337a2547a1e0dcba4814de0badda2587aa2aa97c1eb8fa,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f,unique_factorial_result,,
factorial,global_single,Global+Single,global,single,standard,3407,271828,2.5,50000,5,30000,6e1b2734b868764eda1dd3b54ce7d3a506cd9d9ebf890bbc0cc8fe0a4429ea2e,45.60257432576958,51.85161098266677,1.0490724731916816,0.78912,0.14464,1.084984,0.41194,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed3407_g271828_50k/results.json,3467ba0f6317d25672f46614c1404daf0d6a0f8361a74e4c0ab2f3144b319993,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed3407_g271828_50k/generation_manifest.json,2812321c63b336abdb073205299216e7b0fab7099b65716c224c1ae1c40ed4a9,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/global_single_seed3407_g271828_50k/evaluation_manifest.json,40cfafc6104bfe40c82ab7aa51786484a7badd443ca8cac2638968e0b4fe799e,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f,unique_factorial_result,,
factorial,local_multi,Local+Multi,local,multi,standard,123,271828,2.5,50000,5,30000,607900dfcad0cd5123399d5a0e7201df26d79da416a47336860061809a3f4f45,47.183016886621374,51.464791020073264,0.850563507060741,0.76662,0.15884,0.993108,0.39348,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed123_g271828_50k/results.json,0bfbd2ea1492f75e62469a25c1ec78781339b43ce3004d85e3f6ddd499656a19,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed123_g271828_50k/generation_manifest.json,1b12cd20a51096df48c4c28b6a62a23deeacc6d4af7ae32ceef61a08c909192a,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed123_g271828_50k/evaluation_manifest.json,61aa33879a91c9af5bfe5d210c4c8786f324e685d4cb46710f4702d33ecd4303,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f,unique_factorial_result,,
factorial,local_multi,Local+Multi,local,multi,standard,2026,271828,2.5,50000,5,30000,63733b0a9eefd4920c4a782bc68020a6f4d94c56805af5bc14fe6287cedbdd0d,46.190973370936604,52.3640873461977,0.8192875535958839,0.77068,0.1737,1.002924,0.40322,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed2026_g271828_50k/results.json,faed1419e1c2fd4980e71b68388584d12b513ca29c414969f52a667fbab7efba,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed2026_g271828_50k/generation_manifest.json,99b1f062402d28b8720ac38c8240db5e38eed787a58e80c23405d4fcb545bbc6,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed2026_g271828_50k/evaluation_manifest.json,b587c99817760d360d7f4cea795b9f0f97508f6662f4e776135bb6cecedf198a,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f,unique_factorial_result,,
factorial,local_multi,Local+Multi,local,multi,standard,3407,271828,2.5,50000,5,30000,885789ec3912e21ebc9a6003b5cb74d8868354236eeba8b8ed44823c23e8aa0e,44.3066177988718,54.436494534337115,0.6625043431774337,0.76662,0.1775,1.01342,0.41626,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed3407_g271828_50k/results.json,f1476a71f73f621fbced273144997faef34b8b9f2c0380e3aa7cb1b423f0528d,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed3407_g271828_50k/generation_manifest.json,77eebca3fe2046fd73141e01bec18c3dd9325921a960ce27cb359d62ffa912c5,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_multi_seed3407_g271828_50k/evaluation_manifest.json,2cf8f770424a6062ccfb1118cda7809ae6569905563c0ff2621b4c1edf574c62,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f,unique_factorial_result,,
factorial,local_single,Local+Single,local,single,standard,123,271828,2.5,50000,5,30000,d0c6b9f5f8bb510d8a1ba7a7d930561eec9d3a612ceadcc7142caa18bf147dc1,47.43248439704706,50.115604701640564,1.3361790967350933,0.76376,0.14926,0.988224,0.39396,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_single_seed123_g271828_50k/results.json,c45b33dd1dc6b2883815e52b2bef76294027339237020f19fac03e41ed698ecb,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_single_seed123_g271828_50k/generation_manifest.json,06e85b56d8bc8e253063bad08c0ca0c9eb242bcb45d1f5153487db4fc2534c47,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_single_seed123_g271828_50k/evaluation_manifest.json,6596b463fa5a62d846dbf985e5665108c367a590b205ec407ad743f755fb3744,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f,unique_factorial_result,,
