experiment,method_id,method,sharing,scales,resource_regime,train_seed,generation_seed,cfg_scale,num_samples,prdc_k,checkpoint_step,checkpoint_sha256,fid,is_mean,is_within_run_std,precision,recall,density,coverage,result_path,result_sha256,generation_manifest_path,generation_manifest_sha256,evaluation_manifest_path,evaluation_manifest_sha256,task_manifest_path,task_manifest_sha256
main,baseline,Fixed kernel (default),fixed,default,standard,123,271828,3.5,50000,5,30000,e2d12f052a3a30735f03a47f925cce4899b9813a9f3c2d639c174ff1622a8a6f,49.059033644426336,41.888368273823545,0.8027648492988851,0.7592,0.20266,0.9631719999999999,0.37426,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/baseline_seed123_g271828_50k/results.json,399e3cf6731b5d0f4eeb68e9c5e20a59d97890650d76e1254c5c10b324dddf76,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/baseline_seed123_g271828_50k/generation_manifest.json,7e8dfd2b606b1d38340dfcf11b4f23abe3f4d0b4c01edbfd8b1776d4dd7d2712,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/baseline_seed123_g271828_50k/evaluation_manifest.json,f435fb7b08233c1196260728b2eeeab184b555e55b66ebbd8e11b92482cdbe86,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/_registry/task_manifest.tsv,bee7cb6c43bca733008156490990daf0c9e4d9e664e949b93e5d3749c41e1a1c
main,baseline,Fixed kernel (default),fixed,default,standard,2026,271828,3.5,50000,5,30000,c3204f63e223c30dd923b478524e9407d58812589c1f7e58134b4498649d0acd,48.7273378667162,42.91865828026394,0.9371031910622681,0.73298,0.22206,0.861616,0.36842,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/baseline_seed2026_g271828_50k/results.json,26c0ede392573935abaaa99c0ba719cbbc9355787b67af72207a3c769d09f5da,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/baseline_seed2026_g271828_50k/generation_manifest.json,eee3ecf3d98f0950e715c47cfe61fb7cddbc80979fe01163cd929427945a5109,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/baseline_seed2026_g271828_50k/evaluation_manifest.json,6ae35c030737d2c5f29309dbdc0d4c9246bb7a5a43f4fb5acf5f369fd875cca3,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/_registry/task_manifest.tsv,bee7cb6c43bca733008156490990daf0c9e4d9e664e949b93e5d3749c41e1a1c
main,baseline,Fixed kernel (default),fixed,default,standard,3407,271828,3.5,50000,5,30000,cbb317fa8981b48fe270fc0c08f3d08ab3f96fe6709ddc21a0e5cf0d93458a75,50.92474255237903,40.05153537914798,0.8431094374584752,0.74816,0.19274,0.928816,0.36154,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/baseline_seed3407_g271828_50k/results.json,9822c450b6fea8e355deb583fc25aae0480e26b8e672f24ef2e436f74375509e,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/baseline_seed3407_g271828_50k/generation_manifest.json,e3cbdbd8f9588d73a5724e879a8fbc6e779ee602f97a2a9308e200cef64b09cd,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/baseline_seed3407_g271828_50k/evaluation_manifest.json,3747ca2ee6cfbb900dc780f1c02f59ea1934985bdbcd517175e7b1a708665966,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/_registry/task_manifest.tsv,bee7cb6c43bca733008156490990daf0c9e4d9e664e949b93e5d3749c41e1a1c
main,v4_3,DCKD (Global+Multi),global,multi,standard,123,271828,2.5,50000,5,30000,0fd8f9b40bc2810e76eb0324bd47a3d69ebafe5122f1d547935255ee27471985,45.2093220908136,52.69178138254764,0.9671409164496975,0.7679,0.1573,1.015552,0.41102,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed123_g271828_50k/results.json,1a8f470f523ccc4eee6d1aa571be0cb056aa2bd741b4a575d3afc9145c8c8266,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed123_g271828_50k/generation_manifest.json,b5d3a95abaa595f77da6a54757bc475e9f39db0be4572ba250ad1e1ac7313da6,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed123_g271828_50k/evaluation_manifest.json,254110d3e845032a9ae0e98bf4fac461bb9eb89ee989e9c570be063f90f22d66,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/_registry/task_manifest.tsv,bee7cb6c43bca733008156490990daf0c9e4d9e664e949b93e5d3749c41e1a1c
main,v4_3,DCKD (Global+Multi),global,multi,standard,2026,271828,2.5,50000,5,30000,43cf6bef151eeb389f5db9645082f158c636bf7dd9cf12adb892bcff74461860,46.223648744376646,53.304495990306506,1.0665964408197832,0.77054,0.16746,1.00308,0.40494,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed2026_g271828_50k/results.json,f09bb8a2fddf27d634c3557595062ba8693799a33542703d6a9b1500041f4042,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed2026_g271828_50k/generation_manifest.json,7e071813b43e42b70636564b55b9ba6791fd775b3aeda91ec203bf9a80a30a04,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed2026_g271828_50k/evaluation_manifest.json,30cb8ce31e51fcde3aba1ad91e5618e044323b58a2f08ba402f0a14e629dd69a,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/_registry/task_manifest.tsv,bee7cb6c43bca733008156490990daf0c9e4d9e664e949b93e5d3749c41e1a1c
main,v4_3,DCKD (Global+Multi),global,multi,standard,3407,271828,2.5,50000,5,30000,0693b242826036ab0e574797bec728ea87514c0052920000ded69eb29e0a6670,46.7628136176171,51.51735821218422,0.7236680701857513,0.7747,0.15688,1.077624,0.41032,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed3407_g271828_50k/results.json,56545ed24fa63774dbaa8269987444691b7071b0e6ac6d5ac58438cd316c5fe8,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed3407_g271828_50k/generation_manifest.json,f8eb33ba5678ee182d86914bf76a600535b9426e7988a39250fa75090cfb977f,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/v4_3_seed3407_g271828_50k/evaluation_manifest.json,d512ff9cddc3e0d19656e60b1c25774271d7936bcd4acd49593874e653ca73f9,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/main_independent/_registry/task_manifest.tsv,bee7cb6c43bca733008156490990daf0c9e4d9e664e949b93e5d3749c41e1a1c
fixed,tuned_fixed_c1,Tuned fixed kernel C1,fixed,"[0.40,0.20,0.10]",standard,123,271828,2.5,50000,5,30000,14269b2c61b4f097aba369545266665b080ee5423c54ebc5ba3efd3fe9a0003f,44.38511031152149,52.46628889252527,0.8401253214330381,0.77136,0.19966,0.990756,0.40842,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/fixed_winner/c1_seed123_g271828_50k/results.json,514e6cfcbf54546f4966e7e8860190a2cf279922a8c5de17a22d8c306364bffc,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/fixed_winner/c1_seed123_g271828_50k/generation_manifest.json,a18fd931b141a9661828e139323f9b3ee727dd3d4590afdb5ef48c70ba5e5b68,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/fixed_winner/c1_seed123_g271828_50k/evaluation_manifest.json,8ca5bcf88b3e7f5657659d5f419f07de4caef2dbc23bd52821f9527c18598da5,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/fixed_winner/_registry/task_manifest.tsv,7498dffc6e2c676c10db1add92b71f960bf803f394d876c7c85c5ab785638f48
fixed,tuned_fixed_c1,Tuned fixed kernel C1,fixed,"[0.40,0.20,0.10]",standard,2026,271828,2.5,50000,5,30000,567216fea721c81838ebeb78db3f1ab7bef9d17b2822c823d69ff7f43ffe6b76,45.952810839091,49.712363284816135,0.9154807325534934,0.76172,0.18778,0.979668,0.40106,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/fixed_winner/c1_seed2026_g271828_50k/results.json,d1fb188c52abdca044d2765b7477b149d734e0723fe735d9d36752a3a8a9ed81,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/fixed_winner/c1_seed2026_g271828_50k/generation_manifest.json,865b04e67fbc252b8bc089bf3886b4faf7d5ce750e7b8028800353e6123f62ca,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/fixed_winner/c1_seed2026_g271828_50k/evaluation_manifest.json,711604413eb05ab29c63b9c8f9ebb46f665ee11fc737b98a6354b942949408ba,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/fixed_winner/_registry/task_manifest.tsv,7498dffc6e2c676c10db1add92b71f960bf803f394d876c7c85c5ab785638f48
fixed,tuned_fixed_c1,Tuned fixed kernel C1,fixed,"[0.40,0.20,0.10]",standard,3407,271828,2.5,50000,5,30000,91691b5d0c216264022296394710e9c70c0d20c5568cca0d69097f8fc20dd30d,44.757801339280604,51.858207872576614,0.8243397465314851,0.76506,0.19244,1.010356,0.41598,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/fixed_winner/c1_seed3407_g271828_50k/results.json,f2c13aff000768ba7d63dec997df5f5804ed0308af3116799211b3717122b421,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/fixed_winner/c1_seed3407_g271828_50k/generation_manifest.json,4f91b688f004d8bcc8613e950cd7731b2b3cde7d7f1590449cef52ca5c94b12a,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/fixed_winner/c1_seed3407_g271828_50k/evaluation_manifest.json,664c9dfd51d6fa3afcc8d07a88316ec35e57a06932f7604a574e28252503916c,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/fixed_winner/_registry/task_manifest.tsv,7498dffc6e2c676c10db1add92b71f960bf803f394d876c7c85c5ab785638f48
factorial,local_single,Local+Single,local,single,standard,123,271828,2.5,50000,5,30000,d0c6b9f5f8bb510d8a1ba7a7d930561eec9d3a612ceadcc7142caa18bf147dc1,47.43248439704706,50.115604701640564,1.3361790967350933,0.76376,0.14926,0.988224,0.39396,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_single_seed123_g271828_50k/results.json,c45b33dd1dc6b2883815e52b2bef76294027339237020f19fac03e41ed698ecb,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_single_seed123_g271828_50k/generation_manifest.json,06e85b56d8bc8e253063bad08c0ca0c9eb242bcb45d1f5153487db4fc2534c47,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/local_single_seed123_g271828_50k/evaluation_manifest.json,6596b463fa5a62d846dbf985e5665108c367a590b205ec407ad743f755fb3744,reports/pr_dckd_v1_completion_2026-08-12/remote/formal/factorial_2x2/_registry/task_manifest.tsv,9dac91f3b357b0bf9122f1884bb1870f8132a4422af7ba18a1900d7f6f7b6b4f
