experiment,run,train_seed,generation_seed,num_samples,prdc_k,checkpoint_step,generation_manifest_reference,evaluation_manifest_reference,task_manifest_reference,metric_mirror,result_sha256
main,baseline_seed123_g271828_50k,123,271828,50000,5,30000,pass,pass,pass,pass,399e3cf6731b5d0f4eeb68e9c5e20a59d97890650d76e1254c5c10b324dddf76
main,baseline_seed2026_g271828_50k,2026,271828,50000,5,30000,pass,pass,pass,pass,26c0ede392573935abaaa99c0ba719cbbc9355787b67af72207a3c769d09f5da
main,baseline_seed3407_g271828_50k,3407,271828,50000,5,30000,pass,pass,pass,pass,9822c450b6fea8e355deb583fc25aae0480e26b8e672f24ef2e436f74375509e
main,v4_3_seed123_g271828_50k,123,271828,50000,5,30000,pass,pass,pass,pass,1a8f470f523ccc4eee6d1aa571be0cb056aa2bd741b4a575d3afc9145c8c8266
main,v4_3_seed2026_g271828_50k,2026,271828,50000,5,30000,pass,pass,pass,pass,f09bb8a2fddf27d634c3557595062ba8693799a33542703d6a9b1500041f4042
main,v4_3_seed3407_g271828_50k,3407,271828,50000,5,30000,pass,pass,pass,pass,56545ed24fa63774dbaa8269987444691b7071b0e6ac6d5ac58438cd316c5fe8
fixed,c1_seed123_g271828_50k,123,271828,50000,5,30000,pass,pass,pass,pass,514e6cfcbf54546f4966e7e8860190a2cf279922a8c5de17a22d8c306364bffc
fixed,c1_seed2026_g271828_50k,2026,271828,50000,5,30000,pass,pass,pass,pass,d1fb188c52abdca044d2765b7477b149d734e0723fe735d9d36752a3a8a9ed81
fixed,c1_seed3407_g271828_50k,3407,271828,50000,5,30000,pass,pass,pass,pass,f2c13aff000768ba7d63dec997df5f5804ed0308af3116799211b3717122b421
factorial,local_single_seed123_g271828_50k,123,271828,50000,5,30000,pass,pass,pass,pass,c45b33dd1dc6b2883815e52b2bef76294027339237020f19fac03e41ed698ecb
factorial,local_single_seed2026_g271828_50k,2026,271828,50000,5,30000,pass,pass,pass,pass,bf8cf739c4037402dfe53cdd21033323eba069f834b46b1343466f09cc047075
factorial,local_single_seed3407_g271828_50k,3407,271828,50000,5,30000,pass,pass,pass,pass,c3dca6db971486ed742ba0ef3ceb55c968c7b593cd3846154a44c5db19bba44b
factorial,local_multi_seed123_g271828_50k,123,271828,50000,5,30000,pass,pass,pass,pass,0bfbd2ea1492f75e62469a25c1ec78781339b43ce3004d85e3f6ddd499656a19
factorial,local_multi_seed2026_g271828_50k,2026,271828,50000,5,30000,pass,pass,pass,pass,faed1419e1c2fd4980e71b68388584d12b513ca29c414969f52a667fbab7efba
factorial,local_multi_seed3407_g271828_50k,3407,271828,50000,5,30000,pass,pass,pass,pass,f1476a71f73f621fbced273144997faef34b8b9f2c0380e3aa7cb1b423f0528d
factorial,global_single_seed123_g271828_50k,123,271828,50000,5,30000,pass,pass,pass,pass,bb04e7c1a3bee9cee93fe234c789dcf2c8b68257590978c92a5f12b5b51af4e4
factorial,global_single_seed2026_g271828_50k,2026,271828,50000,5,30000,pass,pass,pass,pass,29f98c23879dc3444dda6e3da50681237866f6c3997236d7e7a4e874e16d5447
factorial,global_single_seed3407_g271828_50k,3407,271828,50000,5,30000,pass,pass,pass,pass,3467ba0f6317d25672f46614c1404daf0d6a0f8361a74e4c0ab2f3144b319993
resource,baseline_seed123_g271828_50k,123,271828,50000,5,30000,pass,pass,pass,pass,f79c979c1a0bf1f1bc3d6fa537222f47dec80968ae6e0b9b6bc836308d10e336
resource,baseline_seed2026_g271828_50k,2026,271828,50000,5,30000,pass,pass,pass,pass,07ee13da33b341b0b30a70874831b5043bf3697bdad8cea8de9727154e9d732c
resource,v4_3_seed123_g271828_50k,123,271828,50000,5,30000,pass,pass,pass,pass,7503808adfe5d934aefadcd3c18597fabaf68ec8266e9c8ab7e7c8a1c31df74d
resource,v4_3_seed2026_g271828_50k,2026,271828,50000,5,30000,pass,pass,pass,pass,9ff644a646feea6c7ed275986ca4d5a7c229eda79cbdf16e452e264e7f5d73d0
