method,version,train_seed,generation_seed,cfg_scale,class_order,class_id,source_index,selection_rule,image_path,image_sha256,summary_path,summary_sha256
Fixed-Kernel Drifting,baseline,123,0,3.5,0,22,0,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0000_class_022.png,7e60ca259d8c6e3f1e7b0aa1e5fd10053ee069703d5e6ddad3b17bef57123a6c,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,1,88,4,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0004_class_088.png,ac3c71cd3fccd49c5860f01e35b0db27b8c3238cc92c932b26095282628d80c5,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,2,95,8,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0008_class_095.png,bc4196eeba0e360ca647c503f692f3065c62b6d2fea5520190bdee06dcf6ef0c,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,3,108,12,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0012_class_108.png,4587cd943b4eb6546197a541de9fe11a5be33edbd27255f4d6b893514e71211e,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,4,207,16,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0016_class_207.png,e7bf7a554949e90534ef2460ae2199ed85b01512b217a4e15b4a61ec622c5f5d,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,5,283,20,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0020_class_283.png,9431b26734a0d2ab535f41c802196bec1ab187b74294dda1152059e2b79f4917,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,6,296,24,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0024_class_296.png,25a6cb5440f628c392623f8b1b5d9bb327eeaf67f93748ca5e02aed71d6ca8c9,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,7,386,28,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0028_class_386.png,b593238ddd24fc85a179e42d48ee9914d83dc1bca4ab7f63cf19d28ea06537c9,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,8,483,32,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0032_class_483.png,3755785eee3da22238df43a4c05fff384ebb39ae0c0b1a02b1f9162e1a354229,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,9,562,36,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0036_class_562.png,11d4f0f63fa470c7316f1b397e38161b7abf6ae40fa88c3bdd8e873020cda320,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,10,604,40,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0040_class_604.png,16fd4dfc40c3f826edf6e86b3a4ade86e757394f10ce6525588080578285a152,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,11,698,44,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0044_class_698.png,5902751607aab6a646036fd46bd6d8370e833bef8fe65d0b541742ad9445a761,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,12,717,48,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0048_class_717.png,205dab189d52afcd0b135b555b0f7f1e2039e2575de06c41f228b3816d136b26,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,13,805,52,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0052_class_805.png,f9f44e59c2b1a7480b1098d088223c81ffcb457f45d9ce1f3cbc51891136c875,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,14,908,56,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0056_class_908.png,9536bb6d5e11833391cff937b6340a6f8ac1c19f8ee162272c4b56f886a7fc76,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
Fixed-Kernel Drifting,baseline,123,0,3.5,15,985,60,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/sample_0060_class_985.png,333701584e3acfb5a84d3b8fe2592d6d0d28e1ba63f26236bef087896f83e15e,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_baseline_seed123/summary.json,e8b28597c159707a036bff299f5511462fbe9aa48b4382eb6ebbe0a7459e0f62
DCKD-Global-MS,v4.3,123,0,2.5,0,22,0,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0000_class_022.png,b62495b6907ba56e00157194715aaf921386423a29cb189de8542156ad7e7d1d,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,1,88,4,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0004_class_088.png,88bcb3b8280c924642f10ef5a0d0270543629000ccbeafb52b3d0456b2347484,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,2,95,8,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0008_class_095.png,0fad19fcf1e37811e0a5cfe33f9c03088bc4e390b3c1fb3f7bdf28e278acdf8a,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,3,108,12,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0012_class_108.png,ec5384a4d58414b9daade4345b7d4b2b8e4e7dce482a9375cd128ae6d739be5e,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
DCKD-Global-MS,v4.3,123,0,2.5,4,207,16,first generated sample for each class in fixed 16-class order,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/sample_0016_class_207.png,bd69db42de2823de4e406e1c0d34f10a9f36803d25edd66fd7f6a7a7e20668a0,paper/pr_submission/data/cluster_snapshot_2026-07-28/raw/runs/paper_qualitative_v43_seed123/summary.json,854225f1d9b8170402af23475e8e7bbc4a5d5cec1bb8eed2a503aaa17b87e7ac
